airport_name	iata	number_of_hotels	country_code	deeplink	
Hesperia	L26	30	us	http://www.booking.com/airport/us/L26.html	
Kariba	KAB	1	zw	http://www.booking.com/airport/zw/KAB.html	
Rice Lake Regional (Carl's Field)	RPD	7	us	http://www.booking.com/airport/us/RPD.html	
Ruston Regional	RSN	7	us	http://www.booking.com/airport/us/RSN.html	
Shively Field	SAA	3	us	http://www.booking.com/airport/us/SAA.html	
Pyrzowice	KTW	30	pl	http://www.booking.com/airport/pl/KTW.html	
Rugby Municipal	RUG	2	us	http://www.booking.com/airport/us/RUG.html	
Clearwater Air Park	CLW	30	us	http://www.booking.com/airport/us/CLW.html	
Braganca	BGC	30	pt	http://www.booking.com/airport/pt/BGC.html	
Wawi	PMA	2	tz	http://www.booking.com/airport/tz/PMA.html	
Clinton Municipal	4M4	2	us	http://www.booking.com/airport/us/4M4.html	
Greene County Regional	3J7	5	us	http://www.booking.com/airport/us/3J7.html	
Perry County Municipal	TEL	6	us	http://www.booking.com/airport/us/TEL.html	
Henry Post Army Airfield (Fort Sill)	FSI	17	us	http://www.booking.com/airport/us/FSI.html	
Phetchabun	PHY	24	th	http://www.booking.com/airport/th/PHY.html	
Venice Municipal	VNC	30	us	http://www.booking.com/airport/us/VNC.html	
Flores	FLW	5	pt	http://www.booking.com/airport/pt/FLW.html	
Clark Regional	JVY	30	us	http://www.booking.com/airport/us/JVY.html	
Port Allen	PAK	30	us	http://www.booking.com/airport/us/PAK.html	
Caddo Mills Municipal	7F3	15	us	http://www.booking.com/airport/us/7F3.html	
Uzhorod International Airport	UDJ	30	ua	http://www.booking.com/airport/ua/UDJ.html	
Lomé-Tokoin	LFW	12	tg	http://www.booking.com/airport/tg/LFW.html	
Susanville Municipal	SVE	6	us	http://www.booking.com/airport/us/SVE.html	
Hjaltabakki	BLO	15	is	http://www.booking.com/airport/is/BLO.html	
Qaisumah	AQI	8	sa	http://www.booking.com/airport/sa/AQI.html	
Elmendorf Air Force Base	EDF	30	us	http://www.booking.com/airport/us/EDF.html	
Balikesir (Merkez)	BZI	6	tr	http://www.booking.com/airport/tr/BZI.html	
Takhli	TKH	4	th	http://www.booking.com/airport/th/TKH.html	
Waioti	MOF	3	id	http://www.booking.com/airport/id/MOF.html	
Rockingham County NC Shiloh	78N	10	us	http://www.booking.com/airport/us/78N.html	
St. Lucie County International	FPR	30	us	http://www.booking.com/airport/us/FPR.html	
Campbell River	YBL	30	ca	http://www.booking.com/airport/ca/YBL.html	
Hancock	SYR	30	us	http://www.booking.com/airport/us/SYR.html	
Juist	JUI	31	de	http://www.booking.com/airport/de/JUI.html	
Captain Manuel Niño International	CHX	30	pa	http://www.booking.com/airport/pa/CHX.html	
Talagi	ARH	24	ru	http://www.booking.com/airport/ru/ARH.html	
Chaves	CHV	30	pt	http://www.booking.com/airport/pt/CHV.html	
Jefferson City Memorial	JEF	13	us	http://www.booking.com/airport/us/JEF.html	
José Celestino Mutis	BSC	9	co	http://www.booking.com/airport/co/BSC.html	
Hamburg	HAM	31	de	http://www.booking.com/airport/de/HAM.html	
Silvio Pettirossi International	ASU	30	py	http://www.booking.com/airport/py/ASU.html	
El Tepual	PMC	30	cl	http://www.booking.com/airport/cl/PMC.html	
Show Low Regional	SOW	23	us	http://www.booking.com/airport/us/SOW.html	
Calicut International Airport	CCJ	20	in	http://www.booking.com/airport/in/CCJ.html	
Curitibanos	QCR	1	br	http://www.booking.com/airport/br/QCR.html	
David City Municipal	93Y	7	us	http://www.booking.com/airport/us/93Y.html	
Brooten Municipal	6D1	5	us	http://www.booking.com/airport/us/6D1.html	
Cork	ORK	30	ie	http://www.booking.com/airport/ie/ORK.html	
Lukou	NKG	13	cn	http://www.booking.com/airport/cn/NKG.html	
Bagotville	YBG	30	ca	http://www.booking.com/airport/ca/YBG.html	
Old Bridge	3N6	30	us	http://www.booking.com/airport/us/3N6.html	
Termez	TMJ	1	uz	http://www.booking.com/airport/uz/TMJ.html	
Leesburg International	LEE	26	us	http://www.booking.com/airport/us/LEE.html	
Montgomery County Airpark	GAI	30	us	http://www.booking.com/airport/us/GAI.html	
Juan Mendoza	ORU	2	bo	http://www.booking.com/airport/bo/ORU.html	
Thalerhof	GRZ	30	at	http://www.booking.com/airport/at/GRZ.html	
De Kalb Co	07C	30	us	http://www.booking.com/airport/us/07C.html	
Saratov	RTW	30	ru	http://www.booking.com/airport/ru/RTW.html	
St. George Municipal	SGU	30	us	http://www.booking.com/airport/us/SGU.html	
Northwest Alabama Regional	MSL	17	us	http://www.booking.com/airport/us/MSL.html	
Little Falls/Morrison County -Lindbergh Field	LXL	1	us	http://www.booking.com/airport/us/LXL.html	
Corrado Gex	AOT	30	it	http://www.booking.com/airport/it/AOT.html	
Transylvania County	22W	28	us	http://www.booking.com/airport/us/22W.html	
Becks Grove	K16	10	us	http://www.booking.com/airport/us/K16.html	
Kirk Field	PGR	4	us	http://www.booking.com/airport/us/PGR.html	
Puerto Princesa	PPS	30	ph	http://www.booking.com/airport/ph/PPS.html	
Longville Municipal	XVG	4	us	http://www.booking.com/airport/us/XVG.html	
Tambacounda	TUD	1	sn	http://www.booking.com/airport/sn/TUD.html	
Bakersfield Municipal	L45	30	us	http://www.booking.com/airport/us/L45.html	
Kanpur	KNU	5	in	http://www.booking.com/airport/in/KNU.html	
La Porte Municipal	T41	30	us	http://www.booking.com/airport/us/T41.html	
Sharm el-Sheikh International	SSH	30	eg	http://www.booking.com/airport/eg/SSH.html	
Nashville	BNA	30	us	http://www.booking.com/airport/us/BNA.html	
Juan Manuel Gálvez	RTB	30	hn	http://www.booking.com/airport/hn/RTB.html	
Scott Valley	A30	12	us	http://www.booking.com/airport/us/A30.html	
Mid Valley	T65	30	us	http://www.booking.com/airport/us/T65.html	
Cynthiana-Harrison County	0I8	13	us	http://www.booking.com/airport/us/0I8.html	
Montréal/St-Hubert	YHU	30	ca	http://www.booking.com/airport/ca/YHU.html	
Ambrosio L V Taravella	COR	30	ar	http://www.booking.com/airport/ar/COR.html	
Agoncillo	RJL	30	es	http://www.booking.com/airport/es/RJL.html	
Tauranga	TRG	30	nz	http://www.booking.com/airport/nz/TRG.html	
Sulaco	SCD	4	us	http://www.booking.com/airport/us/SCD.html	
Cincinnati West	I67	30	us	http://www.booking.com/airport/us/I67.html	
Supadio	PNK	26	id	http://www.booking.com/airport/id/PNK.html	
Tuba City	T03	1	us	http://www.booking.com/airport/us/T03.html	
Macklin	JJ8	2	ca	http://www.booking.com/airport/ca/JJ8.html	
Notodden	NTB	22	no	http://www.booking.com/airport/no/NTB.html	
Gold Coast Airport	OOL	30	au	http://www.booking.com/airport/au/OOL.html	
Weed	O46	14	us	http://www.booking.com/airport/us/O46.html	
NAS JRB Fort Worth (Carswell Field)	NFW	31	us	http://www.booking.com/airport/us/NFW.html	
Khanty-Mansiysk	HMA	20	ru	http://www.booking.com/airport/ru/HMA.html	
Lonnie Pool Field/Weaverville	O54	1	us	http://www.booking.com/airport/us/O54.html	
Hemingway-Stuckey	38J	4	us	http://www.booking.com/airport/us/38J.html	
James Clements Municipal	3CM	30	us	http://www.booking.com/airport/us/3CM.html	
Kingaroy	KGY	11	au	http://www.booking.com/airport/au/KGY.html	
Grootfontein	GFY	1	na	http://www.booking.com/airport/na/GFY.html	
Limington Harmon	63B	5	us	http://www.booking.com/airport/us/63B.html	
Sylvester	SYV	10	us	http://www.booking.com/airport/us/SYV.html	
West Plains Municipal	UNO	6	us	http://www.booking.com/airport/us/UNO.html	
Centralia/Huron	YCE	2	ca	http://www.booking.com/airport/ca/YCE.html	
Rondonopolis	ROO	7	br	http://www.booking.com/airport/br/ROO.html	
Santa Rosa Route 66	I48	10	us	http://www.booking.com/airport/us/I48.html	
Sandia Airpark Estates East	1N1	5	us	http://www.booking.com/airport/us/1N1.html	
Les Eplatures	ZHV	30	ch	http://www.booking.com/airport/ch/ZHV.html	
Sultan Iskandarmuda	BTJ	8	id	http://www.booking.com/airport/id/BTJ.html	
Smith Reynolds	INT	30	us	http://www.booking.com/airport/us/INT.html	
Chesterfield County	FCI	30	us	http://www.booking.com/airport/us/FCI.html	
Lic. y Gen. Ignacio López Rayón International	UPN	18	mx	http://www.booking.com/airport/mx/UPN.html	
Spokane	GEG	30	us	http://www.booking.com/airport/us/GEG.html	
Valdosta Regional	VLD	30	us	http://www.booking.com/airport/us/VLD.html	
United States Air Force Academy Airfield	AFF	30	us	http://www.booking.com/airport/us/AFF.html	
Bullfrog Basin	U07	1	us	http://www.booking.com/airport/us/U07.html	
Santos	SSZ	30	br	http://www.booking.com/airport/br/SSZ.html	
Sardar Vallabhbhai Patel International	AMD	30	in	http://www.booking.com/airport/in/AMD.html	
Szwederowo	BZG	30	pl	http://www.booking.com/airport/pl/BZG.html	
Gimhae	PUS	30	kr	http://www.booking.com/airport/kr/PUS.html	
Kerch	KHC	18	ua	http://www.booking.com/airport/ua/KHC.html	
São José dos Campos Regional	SJK	30	br	http://www.booking.com/airport/br/SJK.html	
Bolzano	BZO	30	it	http://www.booking.com/airport/it/BZO.html	
Cozad Municipal	CZD	8	us	http://www.booking.com/airport/us/CZD.html	
Jiamusi International	JMU	2	cn	http://www.booking.com/airport/cn/JMU.html	
Downtown Airpark	2DT	31	us	http://www.booking.com/airport/us/2DT.html	
Bateen	AZI	30	ae	http://www.booking.com/airport/ae/AZI.html	
Casa Grande Municipal	CGZ	15	us	http://www.booking.com/airport/us/CGZ.html	
Kandla	IXY	6	in	http://www.booking.com/airport/in/IXY.html	
Westray	WRY	5	gb	http://www.booking.com/airport/gb/WRY.html	
Thompson	YTH	5	ca	http://www.booking.com/airport/ca/YTH.html	
Central Wisconsin	CWA	22	us	http://www.booking.com/airport/us/CWA.html	
Ouarzazate Airport	OZZ	30	ma	http://www.booking.com/airport/ma/OZZ.html	
Newport State	EFK	10	us	http://www.booking.com/airport/us/EFK.html	
Farnborough	FAB	30	gb	http://www.booking.com/airport/gb/FAB.html	
Sao Lourenco Do Sul	SQY	1	br	http://www.booking.com/airport/br/SQY.html	
Baie-Comeau	YBC	9	ca	http://www.booking.com/airport/ca/YBC.html	
Selaparang	AMI	30	id	http://www.booking.com/airport/id/AMI.html	
Quesnel	YQZ	12	ca	http://www.booking.com/airport/ca/YQZ.html	
Mont-De-Marsan Ab	XMJ	30	fr	http://www.booking.com/airport/fr/XMJ.html	
Mansfield Municipal	03B	2	us	http://www.booking.com/airport/us/03B.html	
Kinston Regional Jetport (at Stallings Field)	ISO	4	us	http://www.booking.com/airport/us/ISO.html	
Golfito	GLF	30	cr	http://www.booking.com/airport/cr/GLF.html	
Naga	WNP	3	ph	http://www.booking.com/airport/ph/WNP.html	
Pittsburgh	PIT	30	us	http://www.booking.com/airport/us/PIT.html	
Poitiers-Biard	PIS	30	fr	http://www.booking.com/airport/fr/PIS.html	
Changchun Longjia International Airport	CGQ	30	cn	http://www.booking.com/airport/cn/CGQ.html	
Miramichi	YCH	8	ca	http://www.booking.com/airport/ca/YCH.html	
Bamburi	BMQ	13	us	http://www.booking.com/airport/us/BMQ.html	
Shelby County	2H0	2	us	http://www.booking.com/airport/us/2H0.html	
Woodbine Municipal	1N4	30	us	http://www.booking.com/airport/us/1N4.html	
Capital	SPI	30	us	http://www.booking.com/airport/us/SPI.html	
New Kent County	W96	30	us	http://www.booking.com/airport/us/W96.html	
Manjimup	MJP	12	au	http://www.booking.com/airport/au/MJP.html	
Ridgeland	3J1	28	us	http://www.booking.com/airport/us/3J1.html	
Eagle Grove Municipal	EAG	3	us	http://www.booking.com/airport/us/EAG.html	
Batticaloa	BTC	15	lk	http://www.booking.com/airport/lk/BTC.html	
Searchlight	1L3	2	us	http://www.booking.com/airport/us/1L3.html	
Saint-Gatien	DOL	30	fr	http://www.booking.com/airport/fr/DOL.html	
Shirley	9B4	30	us	http://www.booking.com/airport/us/9B4.html	
Montgomery Field	MYF	31	us	http://www.booking.com/airport/us/MYF.html	
Baia Mare	BAY	30	ro	http://www.booking.com/airport/ro/BAY.html	
Abilene Regional	ABI	27	us	http://www.booking.com/airport/us/ABI.html	
Pittsfield Municipal	2B7	3	us	http://www.booking.com/airport/us/2B7.html	
Meythet	NCY	30	fr	http://www.booking.com/airport/fr/NCY.html	
Copiah County	M11	1	us	http://www.booking.com/airport/us/M11.html	
North Fork Valley	7V2	3	us	http://www.booking.com/airport/us/7V2.html	
Brandywine	N99	30	us	http://www.booking.com/airport/us/N99.html	
Santa Paula	SZP	30	us	http://www.booking.com/airport/us/SZP.html	
Galatina	LCC	30	it	http://www.booking.com/airport/it/LCC.html	
Orland	OLA	17	no	http://www.booking.com/airport/no/OLA.html	
Munda	MUA	1	sb	http://www.booking.com/airport/sb/MUA.html	
Rock Hill/York County (Bryant Field)	UZA	30	us	http://www.booking.com/airport/us/UZA.html	
General Francisco J. Mujica International	MLM	30	mx	http://www.booking.com/airport/mx/MLM.html	
Burnett County	RZN	2	us	http://www.booking.com/airport/us/RZN.html	
Pleso	ZAG	30	hr	http://www.booking.com/airport/hr/ZAG.html	
Lake City Municipal	LCQ	16	us	http://www.booking.com/airport/us/LCQ.html	
Palanquero	PAL	8	co	http://www.booking.com/airport/co/PAL.html	
Abu Simbel	ABS	2	eg	http://www.booking.com/airport/eg/ABS.html	
North Big Horn County	U68	3	us	http://www.booking.com/airport/us/U68.html	
Wittman Regional	OSH	20	us	http://www.booking.com/airport/us/OSH.html	
Caselle Sandro Pertini Airport	TRN	30	it	http://www.booking.com/airport/it/TRN.html	
Upolu	UPP	7	us	http://www.booking.com/airport/us/UPP.html	
Marshfield Municipal - George Harlow Field	3B2	21	us	http://www.booking.com/airport/us/3B2.html	
Monett Municipal	M58	1	us	http://www.booking.com/airport/us/M58.html	
Juanda	SUB	30	id	http://www.booking.com/airport/id/SUB.html	
Lakeway Airpark	3R9	31	us	http://www.booking.com/airport/us/3R9.html	
RAF Leuchars	ADX	30	gb	http://www.booking.com/airport/gb/ADX.html	
St Angelo	ENK	30	gb	http://www.booking.com/airport/gb/ENK.html	
Tokeen Seaplane Base	TKI	30	us	http://www.booking.com/airport/us/TKI.html	
Kenosha Regional	ENW	30	us	http://www.booking.com/airport/us/ENW.html	
Yaoundé Ville Airport	YAO	13	cm	http://www.booking.com/airport/cm/YAO.html	
Addis Ababa Bole International Airport	ADD	28	et	http://www.booking.com/airport/et/ADD.html	
Arthur N. Neu	CIN	3	us	http://www.booking.com/airport/us/CIN.html	
Carroll County	HZD	5	us	http://www.booking.com/airport/us/HZD.html	
Corcoran	CRO	24	us	http://www.booking.com/airport/us/CRO.html	
Jones Memorial	3F7	1	us	http://www.booking.com/airport/us/3F7.html	
Lexington County at Pelion	6J0	30	us	http://www.booking.com/airport/us/6J0.html	
Ardmore Downtown Executive	1F0	15	us	http://www.booking.com/airport/us/1F0.html	
Gran Canaria	LPA	30	es	http://www.booking.com/airport/es/LPA.html	
Toronto/Downsview	YZD	30	ca	http://www.booking.com/airport/ca/YZD.html	
Perth	PSL	30	gb	http://www.booking.com/airport/gb/PSL.html	
Birmingham	BHM	30	us	http://www.booking.com/airport/us/BHM.html	
Furstenfeldbruck	FEL	30	de	http://www.booking.com/airport/de/FEL.html	
Stevensville	32S	2	us	http://www.booking.com/airport/us/32S.html	
Edson	YET	10	ca	http://www.booking.com/airport/ca/YET.html	
Manistee County-Blacker	MBL	3	us	http://www.booking.com/airport/us/MBL.html	
Williamsburg Jamestown	JGG	30	us	http://www.booking.com/airport/us/JGG.html	
Hereford Municipal	HRX	5	us	http://www.booking.com/airport/us/HRX.html	
Raduzhny	RAT	1	ru	http://www.booking.com/airport/ru/RAT.html	
Nanuque	NNU	1	br	http://www.booking.com/airport/br/NNU.html	
Val-d'Or	YVO	6	ca	http://www.booking.com/airport/ca/YVO.html	
Ciampino	CIA	30	it	http://www.booking.com/airport/it/CIA.html	
Royal Air Force Station	LYE	30	gb	http://www.booking.com/airport/gb/LYE.html	
Langenhagen	HAJ	30	de	http://www.booking.com/airport/de/HAJ.html	
R J Bohn Armory Heliport	ND1	29	us	http://www.booking.com/airport/us/ND1.html	
Caldwell Municipal	14R	5	us	http://www.booking.com/airport/us/14R.html	
Muzaffarpur	MZU	1	in	http://www.booking.com/airport/in/MZU.html	
U-Tapao International Airport	UTP	31	th	http://www.booking.com/airport/th/UTP.html	
Beira	BEW	3	mz	http://www.booking.com/airport/mz/BEW.html	
Ankeny Regional	IKV	30	us	http://www.booking.com/airport/us/IKV.html	
Brighton	45G	24	us	http://www.booking.com/airport/us/45G.html	
Tri-County	1J0	7	us	http://www.booking.com/airport/us/1J0.html	
Worthington Municipal	OTG	5	us	http://www.booking.com/airport/us/OTG.html	
H.A. Clark Memorial Field	P32	30	us	http://www.booking.com/airport/us/P32.html	
Uetersen	QSM	30	de	http://www.booking.com/airport/de/QSM.html	
Portland-Mulino	4S9	30	us	http://www.booking.com/airport/us/4S9.html	
Alexandroupolis	AXD	26	gr	http://www.booking.com/airport/gr/AXD.html	
Essey	ENC	30	fr	http://www.booking.com/airport/fr/ENC.html	
Canyonlands Field	CNY	30	us	http://www.booking.com/airport/us/CNY.html	
Syktyvkar	SCW	24	ru	http://www.booking.com/airport/ru/SCW.html	
Blair Municipal	K46	30	us	http://www.booking.com/airport/us/K46.html	
Bunkie Municipal	2R6	2	us	http://www.booking.com/airport/us/2R6.html	
Bedford County	HMZ	11	us	http://www.booking.com/airport/us/HMZ.html	
Aeroporto Internacional das Lajes 	TER	29	pt	http://www.booking.com/airport/pt/TER.html	
Shafter	MIT	30	us	http://www.booking.com/airport/us/MIT.html	
Richard Downing	I40	12	us	http://www.booking.com/airport/us/I40.html	
Magdeburg	ZMG	30	de	http://www.booking.com/airport/de/ZMG.html	
Falconhead	37K	4	us	http://www.booking.com/airport/us/37K.html	
Marion County	82A	1	us	http://www.booking.com/airport/us/82A.html	
Rost	RET	2	no	http://www.booking.com/airport/no/RET.html	
Palatka Muni Lt Kay Larkin Fld	28J	4	us	http://www.booking.com/airport/us/28J.html	
Manas International	FRU	30	kg	http://www.booking.com/airport/kg/FRU.html	
Brackett Field	POC	30	us	http://www.booking.com/airport/us/POC.html	
Bourges	BOU	30	fr	http://www.booking.com/airport/fr/BOU.html	
Northolt	NHT	30	gb	http://www.booking.com/airport/gb/NHT.html	
Kagi	KGW	22	us	http://www.booking.com/airport/us/KGW.html	
Tillsonburg	NQ4	21	ca	http://www.booking.com/airport/ca/NQ4.html	
Lemwerder	XLW	30	de	http://www.booking.com/airport/de/XLW.html	
Cox's Bazar	CXB	16	bd	http://www.booking.com/airport/bd/CXB.html	
Coffeyville Municipal	CFV	4	us	http://www.booking.com/airport/us/CFV.html	
Clark Field Municipal	SEP	9	us	http://www.booking.com/airport/us/SEP.html	
Oradea	OMR	30	ro	http://www.booking.com/airport/ro/OMR.html	
Ebensburg	9G8	7	us	http://www.booking.com/airport/us/9G8.html	
Kalamata	KLX	30	gr	http://www.booking.com/airport/gr/KLX.html	
Boyceville Municipal	3T3	6	us	http://www.booking.com/airport/us/3T3.html	
Aeropuerto de El Maiten	EMX	9	ar	http://www.booking.com/airport/ar/EMX.html	
Clifton Municipal/Isenhower Field	7F7	3	us	http://www.booking.com/airport/us/7F7.html	
North Eleuthera	ELH	8	bs	http://www.booking.com/airport/bs/ELH.html	
Columbiana County	02G	6	us	http://www.booking.com/airport/us/02G.html	
Chennai	MAA	30	in	http://www.booking.com/airport/in/MAA.html	
Metropolitan Area	YYQ	4	ca	http://www.booking.com/airport/ca/YYQ.html	
Kone	KNQ	4	nc	http://www.booking.com/airport/nc/KNQ.html	
Bahawalpur	BHV	1	pk	http://www.booking.com/airport/pk/BHV.html	
Alamogordo-White Sands Regional	ALM	13	us	http://www.booking.com/airport/us/ALM.html	
Griffiss Airpark	RME	20	us	http://www.booking.com/airport/us/RME.html	
Scottsboro Municipal -Word Field	4A6	8	us	http://www.booking.com/airport/us/4A6.html	
Twitchell	3B5	10	us	http://www.booking.com/airport/us/3B5.html	
Ostend-Bruges	OST	30	be	http://www.booking.com/airport/be/OST.html	
Mohawk General	PU6	20	ca	http://www.booking.com/airport/ca/PU6.html	
Gibraltar Airport	GIB	30	gi	http://www.booking.com/airport/gi/GIB.html	
Abraham González International	CJS	30	mx	http://www.booking.com/airport/mx/CJS.html	
Newberry County	27J	4	us	http://www.booking.com/airport/us/27J.html	
Royal Air Force Station - Waddington	WTN	31	gb	http://www.booking.com/airport/gb/WTN.html	
Metro Field	MTX	22	us	http://www.booking.com/airport/us/MTX.html	
Hobart Municipal	HBR	1	us	http://www.booking.com/airport/us/HBR.html	
Kramfors	KRF	15	se	http://www.booking.com/airport/se/KRF.html	
Houston Municipal	M44	1	us	http://www.booking.com/airport/us/M44.html	
General Mitchell	MKE	30	us	http://www.booking.com/airport/us/MKE.html	
Sligo	SXL	30	ie	http://www.booking.com/airport/ie/SXL.html	
Moulay Ali Cherif	ERH	9	ma	http://www.booking.com/airport/ma/ERH.html	
Bareilly Helicopter Base	VI6	4	in	http://www.booking.com/airport/in/VI6.html	
Madrid-Torrejón	TOJ	30	es	http://www.booking.com/airport/es/TOJ.html	
Wellington	WLG	30	nz	http://www.booking.com/airport/nz/WLG.html	
Three Rivers Municipal (Dr. Haines Flying Field)	HAI	9	us	http://www.booking.com/airport/us/HAI.html	
Santa Genoveva	GYN	30	br	http://www.booking.com/airport/br/GYN.html	
St Anthony	YAY	2	ca	http://www.booking.com/airport/ca/YAY.html	
Tuzla International	TZL	6	ba	http://www.booking.com/airport/ba/TZL.html	
Boyne Mountain	BFA	19	us	http://www.booking.com/airport/us/BFA.html	
Valley View	5S9	30	us	http://www.booking.com/airport/us/5S9.html	
Josefa Camejo International	LSP	1	ve	http://www.booking.com/airport/ve/LSP.html	
Hillsdale Municipal	JYM	4	us	http://www.booking.com/airport/us/JYM.html	
Kursk	URS	30	ru	http://www.booking.com/airport/ru/URS.html	
Fort Story Spier Helipad	VA4	30	us	http://www.booking.com/airport/us/VA4.html	
Tirupati Airport	TIR	30	in	http://www.booking.com/airport/in/TIR.html	
Brive - La Roche	BVE	30	fr	http://www.booking.com/airport/fr/BVE.html	
Chatham Municipal Airport	CQX	30	us	http://www.booking.com/airport/us/CQX.html	
Berlin Brandenburg	BER	30	de	http://www.booking.com/airport/de/BER.html	
Presidente Nicolau Lobato International	DIL	15	tl	http://www.booking.com/airport/tl/DIL.html	
Searcy Municipal	SRC	14	us	http://www.booking.com/airport/us/SRC.html	
La Tuque	YLQ	6	ca	http://www.booking.com/airport/ca/YLQ.html	
Lahad Datu	LDU	3	my	http://www.booking.com/airport/my/LDU.html	
Canefield	DCF	30	dm	http://www.booking.com/airport/dm/DCF.html	
Kaadedhdhoo Airport	KDM	2	mv	http://www.booking.com/airport/mv/KDM.html	
Lijiang Sanyi Airport	LJG	33	cn	http://www.booking.com/airport/cn/LJG.html	
Fort St. John	YXJ	13	ca	http://www.booking.com/airport/ca/YXJ.html	
Morden	JA3	2	ca	http://www.booking.com/airport/ca/JA3.html	
Teague Municipal	68F	14	us	http://www.booking.com/airport/us/68F.html	
Longvic	DIJ	30	fr	http://www.booking.com/airport/fr/DIJ.html	
Odense	ODE	30	dk	http://www.booking.com/airport/dk/ODE.html	
Ava Bill Martin Memorial	AOV	2	us	http://www.booking.com/airport/us/AOV.html	
Fernando de Noronha	FEN	30	br	http://www.booking.com/airport/br/FEN.html	
Bodø	BOO	14	no	http://www.booking.com/airport/no/BOO.html	
Columbia Metropolitan	CAE	30	us	http://www.booking.com/airport/us/CAE.html	
Dan Jones International	T51	30	us	http://www.booking.com/airport/us/T51.html	
Wanganui	WAG	29	nz	http://www.booking.com/airport/nz/WAG.html	
Jasionka	RZE	30	pl	http://www.booking.com/airport/pl/RZE.html	
Chemehuevi Valley	49X	24	us	http://www.booking.com/airport/us/49X.html	
Obukhovo	GNA	30	by	http://www.booking.com/airport/by/GNA.html	
Pierrefonds	ZSE	30	re	http://www.booking.com/airport/re/ZSE.html	
Parry Sound	YPD	12	ca	http://www.booking.com/airport/ca/YPD.html	
Hammonton Municipal	N81	21	us	http://www.booking.com/airport/us/N81.html	
Gbessia	CKY	7	gn	http://www.booking.com/airport/gn/CKY.html	
Chandigarh Airport	IXC	30	in	http://www.booking.com/airport/in/IXC.html	
New Coalinga Municipal	C80	4	us	http://www.booking.com/airport/us/C80.html	
Theodore Roosevelt Regional	DIK	10	us	http://www.booking.com/airport/us/DIK.html	
Terrance B. Lettsome International	EIS	8	vg	http://www.booking.com/airport/vg/EIS.html	
Franklin Delano Roosevelt	EUX	7	an	http://www.booking.com/airport/an/EUX.html	
Silverhill Nolf	NQB	30	us	http://www.booking.com/airport/us/NQB.html	
Fredericton	YFC	26	ca	http://www.booking.com/airport/ca/YFC.html	
Guettin	GTI	30	de	http://www.booking.com/airport/de/GTI.html	
Osceola Municipal	I75	5	us	http://www.booking.com/airport/us/I75.html	
Campbell Army Airfield	HOP	30	us	http://www.booking.com/airport/us/HOP.html	
Colorado City	T88	10	us	http://www.booking.com/airport/us/T88.html	
Nakhchivan	NAJ	2	az	http://www.booking.com/airport/az/NAJ.html	
Mariscal Lamar	CUE	30	ec	http://www.booking.com/airport/ec/CUE.html	
Blue Ash	ISZ	30	us	http://www.booking.com/airport/us/ISZ.html	
Port Meadville	GKJ	4	us	http://www.booking.com/airport/us/GKJ.html	
Chitre	CTD	7	pa	http://www.booking.com/airport/pa/CTD.html	
Antlers Municipal	80F	4	us	http://www.booking.com/airport/us/80F.html	
Karol Wojtyla	BRI	30	it	http://www.booking.com/airport/it/BRI.html	
Van Wert County	VNW	5	us	http://www.booking.com/airport/us/VNW.html	
Wichita Valley	F14	23	us	http://www.booking.com/airport/us/F14.html	
Agrinion	AGQ	10	gr	http://www.booking.com/airport/gr/AGQ.html	
Emden	EME	30	de	http://www.booking.com/airport/de/EME.html	
Northern Maine Regional at Presque Isle	PQI	3	us	http://www.booking.com/airport/us/PQI.html	
Sierraville Dearwater	O79	30	us	http://www.booking.com/airport/us/O79.html	
Toronto/Buttonville Municipal	YKZ	30	ca	http://www.booking.com/airport/ca/YKZ.html	
Coonamble	CNB	2	au	http://www.booking.com/airport/au/CNB.html	
Orio Al Serio International Airport	BGY	30	it	http://www.booking.com/airport/it/BGY.html	
Livermore Municipal	LVK	30	us	http://www.booking.com/airport/us/LVK.html	
Ondangwa	OND	4	na	http://www.booking.com/airport/na/OND.html	
Clermont	CMQ	5	au	http://www.booking.com/airport/au/CMQ.html	
Tuticorin Airport	TCR	5	in	http://www.booking.com/airport/in/TCR.html	
Capanda	KNP	30	us	http://www.booking.com/airport/us/KNP.html	
Ta’if	TIF	13	sa	http://www.booking.com/airport/sa/TIF.html	
Orlando Sanford	SFB	30	us	http://www.booking.com/airport/us/SFB.html	
Harare International Airport	HRE	2	zw	http://www.booking.com/airport/zw/HRE.html	
Deer Park	DEW	6	us	http://www.booking.com/airport/us/DEW.html	
Yanji	YNJ	2	cn	http://www.booking.com/airport/cn/YNJ.html	
Perry-Houston County	PXE	31	us	http://www.booking.com/airport/us/PXE.html	
Salina Cruz	SCX	1	us	http://www.booking.com/airport/us/SCX.html	
Lawrenceville-Vincennes International	LWV	6	us	http://www.booking.com/airport/us/LWV.html	
Hartington Municipal	0B4	1	us	http://www.booking.com/airport/us/0B4.html	
Banja Luka	BNX	30	ba	http://www.booking.com/airport/ba/BNX.html	
Lalbenque	ZAO	30	fr	http://www.booking.com/airport/fr/ZAO.html	
Saint Pierre	FSP	1	pm	http://www.booking.com/airport/pm/FSP.html	
Hawthorne Municipal (Jack Northrop Field)	HHR	30	us	http://www.booking.com/airport/us/HHR.html	
Chiang Rai	CEI	30	th	http://www.booking.com/airport/th/CEI.html	
Willow Run	YIP	30	us	http://www.booking.com/airport/us/YIP.html	
