airport_name	iata	number_of_hotels	country_code	deeplink	
St Mary'S	ISC	4	gb	http://www.booking.com/airport/gb/ISC.html	
Martin Campbell Field	1A3	7	us	http://www.booking.com/airport/us/1A3.html	
Jacinto Lara International	BRM	1	ve	http://www.booking.com/airport/ve/BRM.html	
Patos de Minas	POJ	4	br	http://www.booking.com/airport/br/POJ.html	
Mid-America Industrial	H71	12	us	http://www.booking.com/airport/us/H71.html	
Springfield Robertson County	M91	9	us	http://www.booking.com/airport/us/M91.html	
Deer Lodge-City-County	38S	1	us	http://www.booking.com/airport/us/38S.html	
Skylark Field	ILE	30	us	http://www.booking.com/airport/us/ILE.html	
Bonnyville	YBF	7	ca	http://www.booking.com/airport/ca/YBF.html	
Western Nebraska Regional (William B. Heilig Field	BFF	10	us	http://www.booking.com/airport/us/BFF.html	
Mérignac	BOD	30	fr	http://www.booking.com/airport/fr/BOD.html	
Frankfort Municipal	FKR	22	us	http://www.booking.com/airport/us/FKR.html	
Passos	PSW	6	br	http://www.booking.com/airport/br/PSW.html	
Oslo Lufthavn	OSL	20	no	http://www.booking.com/airport/no/OSL.html	
Kranebitten	INN	30	at	http://www.booking.com/airport/at/INN.html	
Cheyenne Regional Airport	CYS	20	us	http://www.booking.com/airport/us/CYS.html	
Richland	93C	1	us	http://www.booking.com/airport/us/93C.html	
Pella Municipal	PEA	12	us	http://www.booking.com/airport/us/PEA.html	
Melville Hall	DOM	30	dm	http://www.booking.com/airport/dm/DOM.html	
Hienghene	HNG	30	us	http://www.booking.com/airport/us/HNG.html	
Clorinda	CLX	30	ar	http://www.booking.com/airport/ar/CLX.html	
Carlisle	N94	30	us	http://www.booking.com/airport/us/N94.html	
Batumi International Airport	BUS	30	ge	http://www.booking.com/airport/ge/BUS.html	
Stronsay	SOY	4	us	http://www.booking.com/airport/us/SOY.html	
Las Heras	LHS	1	ar	http://www.booking.com/airport/ar/LHS.html	
Falcone-Borsellino	PMO	30	it	http://www.booking.com/airport/it/PMO.html	
Robert L. Bradshaw International	SKB	25	kn	http://www.booking.com/airport/kn/SKB.html	
Bryansk	BZK	30	ru	http://www.booking.com/airport/ru/BZK.html	
Julesburg Municipal	7V8	1	us	http://www.booking.com/airport/us/7V8.html	
Executive Gatineau-Ottawa	YND	30	ca	http://www.booking.com/airport/ca/YND.html	
Buon Ma Thuot Airport	BMV	9	vn	http://www.booking.com/airport/vn/BMV.html	
Rick Husband Amarillo International	AMA	30	us	http://www.booking.com/airport/us/AMA.html	
Ippokratis	KGS	30	gr	http://www.booking.com/airport/gr/KGS.html	
Airglades	2IS	6	us	http://www.booking.com/airport/us/2IS.html	
Juneau International Airport	JNU	16	us	http://www.booking.com/airport/us/JNU.html	
Kingsford Smith	SYD	30	au	http://www.booking.com/airport/au/SYD.html	
North Central Missouri Regional	MO8	1	us	http://www.booking.com/airport/us/MO8.html	
NAS JRB Willow Grove	NXX	30	us	http://www.booking.com/airport/us/NXX.html	
Terrell County	6R6	2	us	http://www.booking.com/airport/us/6R6.html	
Ness City Municipal	48K	1	us	http://www.booking.com/airport/us/48K.html	
Fort Lee Helipad Nr 3	VA3	30	us	http://www.booking.com/airport/us/VA3.html	
Norrköping	NRK	30	se	http://www.booking.com/airport/se/NRK.html	
Independence	2O7	7	us	http://www.booking.com/airport/us/2O7.html	
Guglielmo Marconi	BLQ	30	it	http://www.booking.com/airport/it/BLQ.html	
Perry-Foley	40J	5	us	http://www.booking.com/airport/us/40J.html	
Millville Municipal	MIV	12	us	http://www.booking.com/airport/us/MIV.html	
Easterwood (Easterwood Field)	CLL	30	us	http://www.booking.com/airport/us/CLL.html	
Cap. FAP Carlos Martínez de Pinillos International	TRU	30	pe	http://www.booking.com/airport/pe/TRU.html	
Shymkent	CIT	11	kz	http://www.booking.com/airport/kz/CIT.html	
La Cumbre	LCM	30	ar	http://www.booking.com/airport/ar/LCM.html	
Agra Airport	AGR	30	in	http://www.booking.com/airport/in/AGR.html	
Galesburg Municipal	GBG	7	us	http://www.booking.com/airport/us/GBG.html	
Al Ahsa	HOF	12	sa	http://www.booking.com/airport/sa/HOF.html	
Morgan County	I71	3	us	http://www.booking.com/airport/us/I71.html	
Thessalon Municipal	PL5	6	ca	http://www.booking.com/airport/ca/PL5.html	
Tottori	TTJ	16	jp	http://www.booking.com/airport/jp/TTJ.html	
Debert	CQ3	19	ca	http://www.booking.com/airport/ca/CQ3.html	
Roben Hood	RQB	4	us	http://www.booking.com/airport/us/RQB.html	
Roscoe Turner	CRX	1	us	http://www.booking.com/airport/us/CRX.html	
Monto	MNQ	1	au	http://www.booking.com/airport/au/MNQ.html	
Moody AFB	VAD	29	us	http://www.booking.com/airport/us/VAD.html	
Lone Pine	O26	7	us	http://www.booking.com/airport/us/O26.html	
Emmen	QES	30	ch	http://www.booking.com/airport/ch/QES.html	
Begishevo Airport	NBC	30	us	http://www.booking.com/airport/us/NBC.html	
El Dorado Downtown -Stevens Field	F43	3	us	http://www.booking.com/airport/us/F43.html	
Edinburgh Airport	EDI	30	gb	http://www.booking.com/airport/gb/EDI.html	
